api_uri,congress,dw_nominate,gender,id,name,party,seniority
https://api.propublica.org/congress/v1/members/U000039.json,113,-0.453,M,U000039,Tom Udall,D,6
https://api.propublica.org/congress/v1/members/U000038.json,113,-0.353,M,U000038,Mark Udall,D,6
https://api.propublica.org/congress/v1/members/V000127.json,113,0.495,M,V000127,David Vitter,R,9
https://api.propublica.org/congress/v1/members/W000818.json,113,-0.255,M,W000818,John Walsh,D,1
https://api.propublica.org/congress/v1/members/W000805.json,113,-0.193,M,W000805,Mark Warner,D,5
https://api.propublica.org/congress/v1/members/W000817.json,113,-0.776,F,W000817,Elizabeth Warren,D,1
https://api.propublica.org/congress/v1/members/W000802.json,113,-0.403,M,W000802,Sheldon Whitehouse,D,7
https://api.propublica.org/congress/v1/members/W000437.json,113,0.377,M,W000437,Roger Wicker,R,7
https://api.propublica.org/congress/v1/members/W000779.json,113,-0.319,M,W000779,Ron Wyden,D,18
https://api.propublica.org/congress/v1/members/A000360.json,114,0.323,M,A000360,Lamar Alexander,R,13
https://api.propublica.org/congress/v1/members/A000368.json,114,0.351,F,A000368,Kelly Ayotte,R,5
https://api.propublica.org/congress/v1/members/B001230.json,114,-0.528,F,B001230,Tammy Baldwin,D,3
https://api.propublica.org/congress/v1/members/B001261.json,114,0.53,M,B001261,John Barrasso,R,9
https://api.propublica.org/congress/v1/members/B001267.json,114,-0.207,M,B001267,Michael Bennet,D,7
https://api.propublica.org/congress/v1/members/B001277.json,114,-0.421,M,B001277,Richard Blumenthal,D,5
https://api.propublica.org/congress/v1/members/B000575.json,114,0.43,M,B000575,Roy Blunt,R,5
https://api.propublica.org/congress/v1/members/B001288.json,114,-0.615,M,B001288,Cory Booker,D,3
https://api.propublica.org/congress/v1/members/B001236.json,114,0.401,M,B001236,John Boozman,R,5
https://api.propublica.org/congress/v1/members/B000711.json,114,-0.45,F,B000711,Barbara Boxer,D,23
https://api.propublica.org/congress/v1/members/B000944.json,114,-0.438,M,B000944,Sherrod Brown,D,9
https://api.propublica.org/congress/v1/members/B001135.json,114,0.453,M,B001135,Richard Burr,R,11
https://api.propublica.org/congress/v1/members/C000127.json,114,-0.292,F,C000127,Maria Cantwell,D,15
https://api.propublica.org/congress/v1/members/C001047.json,114,0.26,F,C001047,Shelley Capito,R,1
https://api.propublica.org/congress/v1/members/C000141.json,114,-0.327,M,C000141,Benjamin Cardin,D,9
https://api.propublica.org/congress/v1/members/C000174.json,114,-0.173,M,C000174,Thomas Carper,D,15
https://api.propublica.org/congress/v1/members/C001070.json,114,-0.302,M,C001070,Bob Casey,D,9
https://api.propublica.org/congress/v1/members/C001075.json,114,0.452,M,C001075,Bill Cassidy,R,1
https://api.propublica.org/congress/v1/members/C000542.json,114,0.375,M,C000542,Daniel Coats,R,5
https://api.propublica.org/congress/v1/members/C000567.json,114,0.287,M,C000567,Thad Cochran,R,37
https://api.propublica.org/congress/v1/members/C001035.json,114,0.109,F,C001035,Susan Collins,R,19
https://api.propublica.org/congress/v1/members/C001088.json,114,-0.247,M,C001088,Christopher Coons,D,7
https://api.propublica.org/congress/v1/members/C001071.json,114,0.395,M,C001071,Bob Corker,R,9
https://api.propublica.org/congress/v1/members/C001056.json,114,0.496,M,C001056,John Cornyn,R,13
https://api.propublica.org/congress/v1/members/C001095.json,114,0.611,M,C001095,Tom Cotton,R,1
https://api.propublica.org/congress/v1/members/C000880.json,114,0.508,M,C000880,Michael Crapo,R,17
https://api.propublica.org/congress/v1/members/C001098.json,114,0.836,M,C001098,Ted Cruz,R,3
https://api.propublica.org/congress/v1/members/D000618.json,114,0.543,M,D000618,Steve Daines,R,1
https://api.propublica.org/congress/v1/members/D000607.json,114,-0.119,M,D000607,Joe Donnelly,D,3
https://api.propublica.org/congress/v1/members/D000563.json,114,-0.362,M,D000563,Richard Durbin,D,19
https://api.propublica.org/congress/v1/members/E000285.json,114,0.539,M,E000285,Michael Enzi,R,19
https://api.propublica.org/congress/v1/members/E000295.json,114,0.517,F,E000295,Joni Ernst,R,1
https://api.propublica.org/congress/v1/members/F000062.json,114,-0.267,F,F000062,Dianne Feinstein,D,23
https://api.propublica.org/congress/v1/members/F000463.json,114,0.471,F,F000463,Deb Fischer,R,3
https://api.propublica.org/congress/v1/members/F000444.json,114,0.855,M,F000444,Jeff Flake,R,3
https://api.propublica.org/congress/v1/members/F000457.json,114,-0.4,M,F000457,Al Franken,D,7
https://api.propublica.org/congress/v1/members/G000562.json,114,0.456,M,G000562,Cory Gardner,R,1
https://api.propublica.org/congress/v1/members/G000555.json,114,-0.398,F,G000555,Kirsten Gillibrand,D,7
https://api.propublica.org/congress/v1/members/G000359.json,114,0.408,M,G000359,Lindsey Graham,R,13
https://api.propublica.org/congress/v1/members/G000386.json,114,0.342,M,G000386,Charles Grassley,R,35
https://api.propublica.org/congress/v1/members/H000338.json,114,0.382,M,H000338,Orrin Hatch,R,39
https://api.propublica.org/congress/v1/members/H001046.json,114,-0.297,M,H001046,Martin Heinrich,D,3
https://api.propublica.org/congress/v1/members/H001069.json,114,-0.122,F,H001069,Heidi Heitkamp,D,3
https://api.propublica.org/congress/v1/members/H001041.json,114,0.464,M,H001041,Dean Heller,R,5
https://api.propublica.org/congress/v1/members/H001042.json,114,-0.489,F,H001042,Mazie Hirono,D,3
https://api.propublica.org/congress/v1/members/H001061.json,114,0.34,M,H001061,John Hoeven,R,5
https://api.propublica.org/congress/v1/members/I000024.json,114,0.552,M,I000024,James Inhofe,R,23
https://api.propublica.org/congress/v1/members/I000055.json,114,0.403,M,I000055,Johnny Isakson,R,11
https://api.propublica.org/congress/v1/members/J000293.json,114,0.6,M,J000293,Ron Johnson,R,5
https://api.propublica.org/congress/v1/members/K000384.json,114,-0.234,M,K000384,Tim Kaine,D,3
https://api.propublica.org/congress/v1/members/K000383.json,114,-0.15,M,K000383,Angus King,I,3
https://api.propublica.org/congress/v1/members/K000360.json,114,0.274,M,K000360,Mark Kirk,R,7
https://api.propublica.org/congress/v1/members/K000367.json,114,-0.244,F,K000367,Amy Klobuchar,D,9
https://api.propublica.org/congress/v1/members/L000575.json,114,0.572,M,L000575,James Lankford,R,1
https://api.propublica.org/congress/v1/members/L000174.json,114,-0.371,M,L000174,Patrick Leahy,D,41
https://api.propublica.org/congress/v1/members/L000577.json,114,0.924,M,L000577,Mike Lee,R,5
https://api.propublica.org/congress/v1/members/M001183.json,114,-0.058,M,M001183,Joe Manchin,D,7
https://api.propublica.org/congress/v1/members/M000133.json,114,-0.503,M,M000133,Edward Markey,D,3
https://api.propublica.org/congress/v1/members/M000303.json,114,0.381,M,M000303,John McCain,R,29
https://api.propublica.org/congress/v1/members/M001170.json,114,-0.144,F,M001170,Claire McCaskill,D,9
https://api.propublica.org/congress/v1/members/M000355.json,114,0.404,M,M000355,Mitch McConnell,R,31
https://api.propublica.org/congress/v1/members/M000639.json,114,-0.362,M,M000639,Robert Menendez,D,10
https://api.propublica.org/congress/v1/members/M001176.json,114,-0.477,M,M001176,Jeff Merkley,D,7
https://api.propublica.org/congress/v1/members/M000702.json,114,-0.37,F,M000702,Barbara Mikulski,D,29
https://api.propublica.org/congress/v1/members/M000934.json,114,0.414,M,M000934,Jerry Moran,R,5
https://api.propublica.org/congress/v1/members/M001153.json,114,0.207,F,M001153,Lisa Murkowski,R,15
https://api.propublica.org/congress/v1/members/M001169.json,114,-0.308,M,M001169,Christopher Murphy,D,3
https://api.propublica.org/congress/v1/members/M001111.json,114,-0.343,F,M001111,Patty Murray,D,23
https://api.propublica.org/congress/v1/members/N000032.json,114,-0.193,M,N000032,Bill Nelson,D,15
https://api.propublica.org/congress/v1/members/P000603.json,114,0.873,M,P000603,Rand Paul,R,5
https://api.propublica.org/congress/v1/members/P000612.json,114,0.623,M,P000612,David Perdue,R,1
https://api.propublica.org/congress/v1/members/P000595.json,114,-0.236,M,P000595,Gary Peters,D,1
https://api.propublica.org/congress/v1/members/P000449.json,114,0.374,M,P000449,Rob Portman,R,5
https://api.propublica.org/congress/v1/members/R000122.json,114,-0.382,M,R000122,Jack Reed,D,19
https://api.propublica.org/congress/v1/members/R000146.json,114,-0.276,M,R000146,Harry Reid,D,29
https://api.propublica.org/congress/v1/members/R000584.json,114,0.635,M,R000584,Jim Risch,R,7
https://api.propublica.org/congress/v1/members/R000307.json,114,0.414,M,R000307,Pat Roberts,R,19
https://api.propublica.org/congress/v1/members/R000605.json,114,0.389,M,R000605,Mike Rounds,R,1
https://api.propublica.org/congress/v1/members/R000595.json,114,0.583,M,R000595,Marco Rubio,R,5
https://api.propublica.org/congress/v1/members/S000033.json,114,-0.518,M,S000033,Bernard Sanders,I,9
https://api.propublica.org/congress/v1/members/S001197.json,114,0.813,M,S001197,Ben Sasse,R,1
https://api.propublica.org/congress/v1/members/S001194.json,114,-0.401,M,S001194,Brian Schatz,D,3
https://api.propublica.org/congress/v1/members/S000148.json,114,-0.351,M,S000148,Charles Schumer,D,17
https://api.propublica.org/congress/v1/members/S001184.json,114,0.655,M,S001184,Tim Scott,R,3
https://api.propublica.org/congress/v1/members/S001141.json,114,0.549,M,S001141,Jeff Sessions,R,19
https://api.propublica.org/congress/v1/members/S001181.json,114,-0.257,F,S001181,Jeanne Shaheen,D,7
https://api.propublica.org/congress/v1/members/S000320.json,114,,M,S000320,Richard Shelby,R,29
https://api.propublica.org/congress/v1/members/S000770.json,114,-0.328,F,S000770,Debbie Stabenow,D,15
https://api.propublica.org/congress/v1/members/S001198.json,114,0.462,M,S001198,Dan Sullivan,R,1
https://api.propublica.org/congress/v1/members/T000464.json,114,-0.213,M,T000464,Jon Tester,D,9
https://api.propublica.org/congress/v1/members/T000250.json,114,0.409,M,T000250,John Thune,R,11
https://api.propublica.org/congress/v1/members/T000476.json,114,0.429,M,T000476,Thom Tillis,R,1
https://api.propublica.org/congress/v1/members/T000461.json,114,0.632,M,T000461,Patrick Toomey,R,5
https://api.propublica.org/congress/v1/members/U000039.json,114,-0.453,M,U000039,Tom Udall,D,8
https://api.propublica.org/congress/v1/members/V000127.json,114,0.495,M,V000127,David Vitter,R,11
https://api.propublica.org/congress/v1/members/W000805.json,114,-0.193,M,W000805,Mark Warner,D,7
https://api.propublica.org/congress/v1/members/W000817.json,114,-0.776,F,W000817,Elizabeth Warren,D,3
https://api.propublica.org/congress/v1/members/W000802.json,114,-0.403,M,W000802,Sheldon Whitehouse,D,9
https://api.propublica.org/congress/v1/members/W000437.json,114,0.377,M,W000437,Roger Wicker,R,9
https://api.propublica.org/congress/v1/members/W000779.json,114,-0.319,M,W000779,Ron Wyden,D,20
https://api.propublica.org/congress/v1/members/A000360.json,115,0.323,M,A000360,Lamar Alexander,R,15
https://api.propublica.org/congress/v1/members/B001230.json,115,-0.522,F,B001230,Tammy Baldwin,D,5
https://api.propublica.org/congress/v1/members/B001261.json,115,0.534,M,B001261,John Barrasso,R,11
https://api.propublica.org/congress/v1/members/B001267.json,115,-0.207,M,B001267,Michael Bennet,D,9
https://api.propublica.org/congress/v1/members/B001277.json,115,-0.417,M,B001277,Richard Blumenthal,D,7
