congress,date,democrats_no,democrats_yes,independent_no,independent_yes,month,republican_no,republican_yes,result,total_no,total_not_voting,total_yes,vote_type,vote_uri,year
107,2001-05-22,6,44,0,0,5,47,2,Rejected,53,1,46,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/141.json,2001
107,2001-05-22,7,43,0,0,5,49,0,Rejected,56,1,43,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/140.json,2001
107,2001-05-22,7,43,0,0,5,49,0,Rejected,56,1,43,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/139.json,2001
107,2001-05-22,6,44,0,0,5,47,2,Rejected,53,1,46,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/138.json,2001
107,2001-05-22,5,45,0,0,5,49,0,Rejected,54,1,45,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/137.json,2001
107,2001-05-22,11,39,0,0,5,47,2,Rejected,58,1,41,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/136.json,2001
107,2001-05-22,8,42,0,0,5,43,6,Rejected,51,1,48,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/135.json,2001
107,2001-05-22,20,30,0,0,5,49,0,Rejected,69,1,30,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/134.json,2001
107,2001-05-22,6,44,0,0,5,47,2,Rejected,53,1,46,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/133.json,2001
107,2001-05-22,10,40,0,0,5,48,1,Rejected,58,1,41,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/132.json,2001
107,2001-05-21,0,50,0,0,5,0,49,Sustained,0,1,99,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/131.json,2001
107,2001-05-21,4,46,0,0,5,47,2,Rejected,51,1,48,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/130.json,2001
107,2001-05-21,0,50,0,0,5,0,49,Agreed to,0,1,99,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/129.json,2001
107,2001-05-21,48,2,0,0,5,40,9,Rejected,88,1,11,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/128.json,2001
107,2001-05-21,8,42,0,0,5,48,1,Rejected,56,1,43,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/127.json,2001
107,2001-05-21,5,44,0,0,5,44,5,Rejected,49,1,49,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/126.json,2001
107,2001-05-21,7,43,0,0,5,49,0,Rejected,56,1,43,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/125.json,2001
107,2001-05-21,9,41,0,0,5,47,2,Rejected,56,1,43,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/124.json,2001
107,2001-05-21,13,37,0,0,5,47,2,Rejected,60,1,39,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/123.json,2001
107,2001-05-21,12,38,0,0,5,48,1,Rejected,60,1,39,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/122.json,2001
107,2001-05-21,9,41,0,0,5,49,0,Rejected,58,1,41,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/121.json,2001
107,2001-05-21,12,38,0,0,5,48,1,Rejected,60,1,39,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/120.json,2001
107,2001-05-21,15,35,0,0,5,49,0,Rejected,64,1,35,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/119.json,2001
107,2001-05-21,6,44,0,0,5,44,5,Rejected,50,1,49,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/118.json,2001
107,2001-05-21,5,45,0,0,5,46,3,Rejected,51,1,48,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/117.json,2001
107,2001-05-21,2,47,0,0,5,48,1,Rejected,50,1,48,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/116.json,2001
107,2001-05-21,43,7,0,0,5,8,40,Rejected,51,2,47,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/115.json,2001
107,2001-05-17,7,42,0,0,5,48,1,Rejected,55,2,43,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/114.json,2001
107,2001-05-17,48,2,0,0,5,25,25,Rejected,73,0,27,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/113.json,2001
107,2001-05-17,8,42,0,0,5,48,2,Rejected,56,0,44,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/112.json,2001
107,2001-05-17,6,44,0,0,5,18,32,Agreed to,24,0,76,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/111.json,2001
107,2001-05-17,15,34,0,0,5,50,0,Rejected,65,1,34,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/110.json,2001
107,2001-05-16,10,39,0,0,5,6,44,Agreed to,16,1,83,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/109.json,2001
107,2001-05-16,1,48,0,0,5,49,1,Rejected,50,1,49,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/108.json,2001
107,2001-05-16,46,3,0,0,5,16,34,Rejected,62,1,37,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/107.json,2001
107,2001-05-16,0,49,0,0,5,30,20,Agreed to,30,1,69,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/106.json,2001
107,2001-05-16,0,49,0,0,5,39,11,Agreed to,39,1,60,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/105.json,2001
107,2001-05-15,1,47,0,0,5,35,14,Agreed to,36,3,61,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/104.json,2001
107,2001-05-15,0,48,0,0,5,50,0,Rejected,50,1,48,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/103.json,2001
107,2001-05-14,0,47,0,0,5,23,27,Agreed to,23,3,74,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/102.json,2001
107,2001-05-14,0,46,0,0,5,0,50,Agreed to,0,4,96,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/101.json,2001
107,2001-05-10,1,47,0,0,5,33,15,Agreed to,34,4,62,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/100.json,2001
107,2001-05-10,1,48,0,0,5,46,2,Agreed to,47,3,50,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/99.json,2001
107,2001-05-10,45,5,0,0,5,2,48,Agreed to,47,0,53,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/98.json,2001
107,2001-05-09,0,49,0,0,5,1,49,Agreed to,1,1,98,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/97.json,2001
107,2001-05-09,0,49,0,0,5,49,1,Agreed to,49,1,50,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/96.json,2001
107,2001-05-08,0,48,0,0,5,3,47,Agreed to,3,2,95,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/95.json,2001
107,2001-05-08,0,50,0,0,5,31,19,Agreed to,31,0,69,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/94.json,2001
107,2001-05-08,50,0,0,0,5,23,27,Rejected,73,0,27,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/93.json,2001
107,2001-05-08,43,7,0,0,5,0,50,Confirmed,43,0,57,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/92.json,2001
107,2001-05-03,0,50,0,0,5,21,29,Agreed to,21,0,79,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/91.json,2001
107,2001-05-03,0,50,0,0,5,7,43,Agreed to,7,0,93,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/90.json,2001
107,2001-05-03,0,50,0,0,5,0,50,Agreed to,0,0,100,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/89.json,2001
107,2001-05-01,3,46,0,0,5,0,50,Agreed to,3,1,96,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/88.json,2001
107,2001-06-29,0,50,1,0,6,35,9,Passed,36,5,59,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/220.json,2001
107,2001-06-29,49,1,0,1,6,10,34,Rejected,59,5,36,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/219.json,2001
107,2001-06-29,50,0,1,0,6,3,42,Rejected,54,4,42,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/218.json,2001
107,2001-06-29,4,44,0,1,6,42,5,Agreed to,46,4,50,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/217.json,2001
107,2001-06-29,3,47,0,1,6,42,5,Agreed to,45,2,53,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/216.json,2001
107,2001-06-29,1,49,0,1,6,42,5,Agreed to,43,2,55,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/215.json,2001
107,2001-06-29,1,49,0,1,6,40,7,Sustained,41,2,57,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/214.json,2001
107,2001-06-29,0,50,0,1,6,0,47,Agreed to,0,2,98,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/213.json,2001
107,2001-06-29,1,49,0,1,6,45,2,Agreed to,46,2,52,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/212.json,2001
107,2001-06-29,0,50,0,1,6,44,3,Agreed to,44,2,54,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/211.json,2001
107,2001-06-29,50,0,0,1,6,2,45,Rejected,52,2,46,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/210.json,2001
107,2001-06-29,0,50,0,1,6,0,47,Agreed to,0,2,98,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/209.json,2001
107,2001-06-29,0,50,0,1,6,0,47,Agreed to,0,2,98,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/208.json,2001
107,2001-06-28,50,0,1,0,6,7,42,Rejected,58,0,42,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/207.json,2001
107,2001-06-28,0,50,0,1,6,45,4,Agreed to,45,0,55,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/206.json,2001
107,2001-06-28,1,49,0,1,6,3,46,Agreed to,4,0,96,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/205.json,2001
107,2001-06-28,0,50,0,1,6,38,11,Agreed to,38,0,62,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/204.json,2001
107,2001-06-28,2,48,0,1,6,34,15,Agreed to,36,0,64,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/203.json,2001
107,2001-06-28,1,48,0,1,6,43,4,Agreed to,44,3,53,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/202.json,2001
107,2001-06-27,0,50,0,1,6,0,49,Agreed to,0,0,100,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/201.json,2001
107,2001-06-27,1,49,0,1,6,44,4,Agreed to,45,1,54,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/200.json,2001
107,2001-06-27,47,1,1,0,6,5,44,Rejected,53,2,45,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/199.json,2001
107,2001-06-26,5,44,0,1,6,1,48,Agreed to,6,1,93,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/198.json,2001
107,2001-06-26,50,0,1,0,6,6,43,Rejected,57,0,43,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/197.json,2001
107,2001-06-26,48,2,1,0,6,12,37,Rejected,61,0,39,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/196.json,2001
